"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk3454_pilon.212",67.8591411375182,2.17837702727115,0.53271941547168,4.08916394635695,4.3293078965351e-05,0.026027799073969,"CvsT3",52,0,433,437,26,65,32,40,315,439,32,38,26,39,14
"Acerv_evm.TU.Segkk1157_pilon.22",112.055840930544,2.72895081607832,0.505844439242171,5.39484197981239,6.8583884090189e-08,0.000154622366681331,"CvsT3",57,0,917,634,51,112,32,67,544,795,28,44,33,100,27
"Acerv_evm.TU.Segkk398_pilon.11",13.06873003039,-2.39297242334158,0.613147075749789,-3.90277066952547,9.50977982485273e-05,0.042879597230261,"CvsT3",36,0,11,5,19,36,14,17,8,11,7,12,14,32,8
"Acerv_evm.TU.Segkk315_pilon.11",17.3851356597941,-2.40770497210127,0.576679705793621,-4.17511652987304,2.97833557348185e-05,0.0206604847705072,"CvsT3",35,0,5,7,25,50,15,23,19,23,23,16,18,39,7
"Acerv_evm.TU.Segkk2165_pilon.112",31.722366003557,2.07742235785943,0.491341588188573,4.22806130765004,2.3571357094281e-05,0.0177138748563522,"CvsT3",37,0,266,215,31,74,13,12,82,83,11,15,12,37,5
"Acerv_evm.TU.Segkk1630_pilon.62",70.1900674293588,-4.3283598306803,1.05835950936728,-4.08968766508078,4.31954458092966e-05,0.026027799073969,"CvsT3",112,0,10,15,99,178,97,80,8,5,56,134,48,179,62
"Acerv_evm.TU.Segkk1945_pilon.22",12.7834365471073,-2.97662597619834,0.617485347955651,-4.8205613073302,1.43154853026867e-06,0.00184424352085184,"CvsT3",34,0,8,12,16,18,17,18,0,11,12,19,7,24,12
"Acerv_evm.TU.Segkk1793_pilon.12",21.3572085837625,-3.44843945076895,0.605773290326011,-5.69262380141107,1.25101826466597e-08,5.06247170545806e-05,"CvsT3",36,0,6,9,24,38,25,41,6,13,33,37,14,37,13
"Acerv_evm.TU.Segkk1677_pilon.12",70.0638705244626,-1.93094617435673,0.417911809008281,-4.62046329568655,3.82884078952179e-06,0.00431606077998844,"CvsT3",85,7,48,38,70,158,69,99,55,74,70,86,45,112,37
"Acerv_evm.TU.Segkk3405_pilon.72",62.1972734777367,-2.03529615792133,0.509229020452296,-3.99681886965827,6.41993852787166e-05,0.0340558856731451,"CvsT3",112,0,40,42,81,158,65,91,56,57,62,103,35,128,39
"Acerv_evm.TU.Segkk3394_pilon.162",187.475455948091,-5.17738276352292,1.02749074256099,-5.03886074011571,4.68311065574081e-07,0.000844645837869413,"CvsT3",311,12,28,12,288,513,246,188,6,6,152,155,186,521,123
"Acerv_evm.TU.Segkk2935_pilon.21",20.7742062350845,-2.27381514044623,0.580293443371358,-3.91838847469297,8.91429572378598e-05,0.0423100625458431,"CvsT3",22,1,12,12,22,57,21,58,13,19,26,15,11,27,13
"Acerv_evm.TU.Segkk3525_pilon.12",22.8482435347672,-2.53594509925558,0.627628676382394,-4.04051821512138,5.3333222312104e-05,0.0300599374256596,"CvsT3",48,0,19,11,27,58,21,24,9,10,28,39,27,45,10
"Acerv_evm.TU.Segkk119_pilon.171",77.9620183590658,-2.60299371959766,0.583228689965955,-4.46307557289339,8.079154188938e-06,0.00809531249731588,"CvsT3",110,0,35,36,108,186,75,283,28,36,72,50,81,132,38
"Acerv_evm.TU.Segkk3209_pilon.71",27.1787100506276,-1.89636062991401,0.446324419279285,-4.24883906862236,2.14881214316308e-05,0.0177138748563522,"CvsT3",58,2,21,34,32,45,28,31,19,26,29,13,26,53,17
"Acerv_evm.TU.Segkk3047_pilon.51",26.7920627018323,-2.85879873186814,0.673849474497534,-4.2424886270036,2.21054746988904e-05,0.0177138748563522,"CvsT3",33,0,11,16,51,67,33,38,8,5,27,22,34,47,24
"Acerv_evm.TU.Segkk3087_pilon.22",25.7360835517873,-2.99400643727939,0.602195103446266,-4.97182129204501,6.63268314537082e-07,0.000996892276749235,"CvsT3",50,0,10,15,33,65,39,38,6,15,31,27,24,62,12
"Acerv_evm.TU.Segkk3422_pilon.233",1318.46151976369,-5.77233120116537,1.09967474887538,-5.24912589569655,1.52822611681412e-07,0.00137815431214297,"CvsT4",799,711,15,8,471,680,524,537,22,14,402,449,304,1079,353
"Acerv_evm.TU.Segkk3394_pilon.163",187.475455948091,-5.06085949769778,1.02630458893125,-4.93114768488753,8.17478990798962e-07,0.00368601276951252,"CvsT4",311,12,28,12,288,513,246,188,6,6,152,155,186,521,123
"Acerv_evm.TU.Segkk3087_pilon.23",25.7360835517873,-2.63107660957092,0.591068568986884,-4.45138981773417,8.53163053812835e-06,0.0256460813976138,"CvsT4",50,0,10,15,33,65,39,38,6,15,31,27,24,62,12
"Acerv_evm.TU.Segkk1852_pilon.21",477.707991553315,3.72209662331075,0.792032734462937,4.69942271493947,2.60897930342137e-06,0.0235277753582539,"T1vsT4",163,239,229,322,109,265,158,239,298,300,143,260,87,218,161
