"","gene_id","Orthogroup","Species"
"314","Montipora_capitata_PredGene_g42570","OG0016339","M.capitata"
"315","Montipora_capitata_PredGene_g43418","OG0011124","M.capitata"
"316","Montipora_capitata_PredGene_g43717","OG0006382","M.capitata"
"317","Montipora_capitata_PredGene_g43774","OG0002444","M.capitata"
"318","Montipora_capitata_PredGene_g44164","OG0006811","M.capitata"
"319","Montipora_capitata_PredGene_g45462","OG0020989","M.capitata"
"320","Montipora_capitata_PredGene_g45560","OG0007403","M.capitata"
"321","Montipora_capitata_PredGene_g47151","OG0014099","M.capitata"
"322","Montipora_capitata_PredGene_g47600","OG0011115","M.capitata"
"323","Montipora_capitata_PredGene_g48085","OG0008166","M.capitata"
"324","Montipora_capitata_PredGene_g48239","OG0000221","M.capitata"
"325","Montipora_capitata_PredGene_g50913","OG0015559","M.capitata"
"326","Montipora_capitata_PredGene_g51186","OG0006755","M.capitata"
"327","Montipora_capitata_PredGene_g51187","OG0006755","M.capitata"
"328","Montipora_capitata_PredGene_g53226","OG0001910","M.capitata"
"329","Montipora_capitata_PredGene_g546","OG0002737","M.capitata"
"330","Montipora_capitata_PredGene_g54997","OG0000469","M.capitata"
"331","Montipora_capitata_PredGene_g55802","OG0005547","M.capitata"
"332","Montipora_capitata_PredGene_g56282","OG0001295","M.capitata"
"333","Montipora_capitata_PredGene_g56911","OG0001070","M.capitata"
"334","Montipora_capitata_PredGene_g57753","OG0011284","M.capitata"
"335","Montipora_capitata_PredGene_g59067","OG0004155","M.capitata"
"336","Montipora_capitata_PredGene_g59546","OG0006603","M.capitata"
"337","Montipora_capitata_PredGene_g6064","OG0004156","M.capitata"
"338","Montipora_capitata_PredGene_g60874","OG0004166","M.capitata"
"339","Montipora_capitata_PredGene_g61660","OG0000424","M.capitata"
"340","Montipora_capitata_PredGene_g61994","OG0013535","M.capitata"
"341","Montipora_capitata_PredGene_g62662","OG0013300","M.capitata"
"342","Montipora_capitata_PredGene_g63093","OG0002305","M.capitata"
"343","Montipora_capitata_PredGene_g63102","OG0003152","M.capitata"
"344","Montipora_capitata_PredGene_g6322","OG0010623","M.capitata"
"345","Montipora_capitata_PredGene_g64596","OG0009453","M.capitata"
"346","Montipora_capitata_PredGene_g64908","OG0001287","M.capitata"
"347","Montipora_capitata_PredGene_g65430","OG0001287","M.capitata"
"348","Montipora_capitata_PredGene_g67062","OG0000003","M.capitata"
"349","Montipora_capitata_PredGene_g67655","OG0016008","M.capitata"
"350","Montipora_capitata_PredGene_g69559","OG0011354","M.capitata"
"351","Montipora_capitata_PredGene_g70475","OG0009134","M.capitata"
"352","Montipora_capitata_PredGene_g9676","OG0006597","M.capitata"
"353","Pocillopora_acuta_HIv1_PredGene_11122_t","OG0000127","P.acuta"
"354","Pocillopora_acuta_HIv1_PredGene_11200_t","OG0000669","P.acuta"
"355","Pocillopora_acuta_HIv1_PredGene_17795_t","OG0004726","P.acuta"
"356","Pocillopora_acuta_HIv1_PredGene_18567_t","OG0002222","P.acuta"
"357","Pocillopora_acuta_HIv1_PredGene_22960_t","OG0001696","P.acuta"
"358","Pocillopora_acuta_HIv1_PredGene_23744_t","OG0009134","P.acuta"
"359","Pocillopora_acuta_HIv1_PredGene_29511_t","OG0003325","P.acuta"
"360","Pocillopora_acuta_HIv1_PredGene_29635_t","OG0001459","P.acuta"
"361","Pocillopora_acuta_HIv1_PredGene_31452_t","OG0003268","P.acuta"
"362","Pocillopora_acuta_HIv1_PredGene_5516_t","OG0001880","P.acuta"
"363","Pocillopora_acuta_HIv1_PredGene_9973_t","OG0007456","P.acuta"
"364","Pocillopora_acuta_HIv1_PredGene_g10201.t1","OG0012168","P.acuta"
"365","Pocillopora_acuta_HIv1_PredGene_g10202.t1","OG0012167","P.acuta"
